mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
hot,vn_danang_officemedium,ppo_multicontext,2724.2599964886904,0.0,0.1423611111111111,0.0,0.0002706382009718,0.0,0.0173611111111111,0.0,-327.3170871824025,0.0,2725.4336075998012,0.0,2725.4336075998012,0.0
hot,vn_danang_officemedium,ppo_static,2724.2599964886904,0.0,0.1423611111111111,0.0,0.0002706382009718,0.0,0.0173611111111111,0.0,-327.3170871824025,0.0,2725.4336075998012,0.0,2725.4336075998012,0.0
hot,vn_danang_officemedium,static,1326.9816058948636,0.0,0.2256944444444444,0.0,0.056132839785681794,6.082208675455819e-18,0.0034722222222222,0.0,-191.6203084239362,0.0,1328.7941058948636,0.0,1328.7941058948636,0.0
hot,vn_danang_officesmall,ashrae,103.97784358728676,0.0,1.0,0.0,2.033728996912638,0.0,0.0034722222222222,0.0,-1183.955243452154,0.0,111.98478803173121,1.2456363367333517e-14,111.98478803173121,1.2456363367333517e-14
hot,vn_danang_officesmall,cloud_only,152.45480264537036,0.0,0.21875,0.0,0.0870892471737331,0.0,0.0821672446197933,0.0,-69.6411910120398,0.0,154.36913713460996,0.0,154.70976298203493,0.0
hot,vn_danang_officesmall,edge_cloud_adaptive,149.6988500673324,0.0,0.4375,0.0,0.1262130604849921,0.0,0.076728516154819,0.0,-91.76747548006468,0.0,153.35230709964202,0.0,153.35230709964202,0.0
hot,vn_danang_officesmall,edge_only,247.47386853396893,0.0,0.2777777777777778,0.0,0.0041022366947597,0.0,0.0173611111111111,0.0,-32.30975256025792,0.0,249.73081297841335,0.0,249.73081747838944,0.0
hot,vn_danang_officesmall,ppo_multicontext,247.47386853396893,0.0,0.2777777777777778,0.0,0.0041022366947597,0.0,0.0173611111111111,0.0,-32.30975256025792,0.0,249.73081297841335,0.0,249.73081297841338,0.0
hot,vn_danang_officesmall,ppo_static,247.47386853396893,0.0,0.2777777777777778,0.0,0.0041022366947597,0.0,0.0173611111111111,0.0,-32.30975256025792,0.0,249.73081297841335,0.0,249.73081297841338,0.0
hot,vn_danang_officesmall,static,152.35528550483286,0.0,0.4444444444444445,4.865766940364655e-17,0.10692352056503292,1.2164417350911638e-17,0.0034722222222222,0.0,-79.92058210603896,0.0,155.91778550483286,0.0,155.91778550483286,0.0
hot,vn_hanoi_officemedium,ashrae,753.5004663057625,0.0,1.0,0.0,1.6447125540839302,1.946306776145862e-16,0.0034722222222222,0.0,-1037.8244871090358,0.0,761.507410750207,0.0,761.507410750207,0.0
hot,vn_hanoi_officemedium,cloud_only,1020.137399211526,0.0,0.15625,0.0,0.0225348869959513,0.0,0.0616100629170735,0.0,-136.28376772105693,0.0,1021.51061933736,0.0,1021.8512314349482,0.0
hot,vn_hanoi_officemedium,edge_cloud_adaptive,999.3866261094807,0.0,0.23611111111111108,3.846726523775249e-17,0.0509901245435078,0.0,0.0603380401929219,0.0,-150.1655746489762,0.0,1001.3961910787556,0.0,1001.3961910787554,1.575619184138342e-13
hot,vn_hanoi_officemedium,edge_only,2242.916236631572,0.0,0.12152777777777772,1.9233632618876244e-17,0.0001820988125271,0.0,0.0173611111111111,0.0,-269.5048373118041,0.0,2243.9231810760166,0.0,2243.923185584447,0.0
